expanding mean last value,expanding mean,biexponential decay,polynom (day),"polynom (day);
shifted forecast",regression (day),"regression (day);
shifted forecast","regression (day, previous I)","regression (day);
incremental learning",median beta,"median beta;
shifted forecast",lstm
9.208909254386915e-06,5.677016757304327e-06,5.806103256130908e-06,5.892096921979856e-06,5.6225490815623244e-06,4.388781846810823e-06,4.768756754870058e-06,4.020537615822696e-06,6.10287579647085e-06,3.897758275111057e-06,3.6995522267027983e-06,4.405744132808031e-06
7.885269925303263e-06,5.502190078546086e-06,4.792404397823206e-06,5.912970706321475e-06,4.707412876567201e-06,4.07487528773675e-06,4.625868364374623e-06,3.7731276400292034e-06,6.354332978842026e-06,3.675863344541222e-06,3.5637247688196953e-06,3.528230026124422e-06
1.0155148624731281e-05,5.710273920936735e-06,6.027066616413932e-06,5.73054477128719e-06,4.1201863245652775e-06,4.002522016310146e-06,4.23013837632355e-06,3.508907686306468e-06,5.4431368445295e-06,3.3802627938198564e-06,3.040405278385838e-06,3.616729319393757e-06
9.019375260818147e-06,5.553861185502621e-06,6.418665355655267e-06,5.577678553936702e-06,4.774475453505649e-06,3.93485708294e-06,4.4898951847479024e-06,3.6081087088769765e-06,5.323560642144609e-06,3.5030618331799525e-06,3.3905751588108385e-06,4.034557590635537e-06
6.256178066495479e-06,5.33630220209486e-06,4.829890131922303e-06,6.103971455990239e-06,6.412307075919625e-06,4.369682194249595e-06,4.098385484448255e-06,4.09376796193211e-06,6.9106257969381546e-06,4.358558141165738e-06,4.932212838376106e-06,4.137531927270685e-06
1.1718668639969412e-05,6.463148764706107e-06,5.110281779199256e-06,6.265246433372824e-06,4.7065234285214305e-06,4.425445457884863e-06,7.136128693220302e-06,3.936923742228754e-06,6.172970077709485e-06,3.800830745753906e-06,4.961114592296786e-06,3.711903884431114e-06
8.057021632180879e-06,5.004456529589699e-06,5.00920139799775e-06,5.225674941644989e-06,3.920207025866892e-06,3.627341074078045e-06,3.820787461491464e-06,3.2325870891168442e-06,5.848450410264496e-06,3.222765685598087e-06,3.1076731745147074e-06,3.7783472245506994e-06
8.879470770626215e-06,6.3166919524980186e-06,7.963778740335752e-06,6.012501698544108e-06,1.1561079174686406e-05,4.528944127024566e-06,7.253838828688606e-06,4.432094834507723e-06,6.901705535027052e-06,4.0998044332593424e-06,5.209815523280784e-06,4.334266075870838e-06
7.2398069933654185e-06,5.038035140734843e-06,5.219003641509701e-06,5.052398341832364e-06,6.693414298052345e-06,3.637246871098385e-06,4.012208622925759e-06,3.4096404455150536e-06,5.513890521074346e-06,3.1907094122362375e-06,3.155983236276874e-06,3.925840685160638e-06
6.916412873980641e-06,5.010896121184609e-06,6.044301840931166e-06,5.372955889921474e-06,4.8580953113073516e-06,3.7934282668508008e-06,3.289668073566279e-06,3.5551939704589917e-06,5.6098932474112235e-06,3.3569407101948477e-06,4.29987911115298e-06,3.776244223879814e-06
1.0851079756835295e-05,6.055051724812108e-06,8.715490218144639e-06,5.813267851680215e-06,4.340280596691272e-06,4.3973070704037576e-06,3.8113024958061997e-06,3.9779257187151296e-06,4.91026426260701e-06,3.879400019658775e-06,5.399704083617685e-06,4.455685916413349e-06
9.642959808275252e-06,6.07388069727212e-06,4.852101990460079e-06,6.387218096123996e-06,9.840025640495917e-06,4.5301835574734844e-06,6.506100464154611e-06,4.107271651129281e-06,7.164206493203097e-06,3.940926744482473e-06,4.532131632807427e-06,3.57823542007771e-06
6.98311042887426e-06,4.640171382455737e-06,6.0185603311746095e-06,4.892204995274766e-06,3.602745392892261e-06,3.29168333332376e-06,3.1246323755253463e-06,3.030183971499072e-06,5.11908131937894e-06,3.091330319038973e-06,3.4420930996841863e-06,3.619928019041966e-06
8.350036897241601e-06,5.157073788940837e-06,6.728904400886971e-06,5.3415735978301385e-06,3.6956037320664982e-06,3.733689876056654e-06,3.149821580166789e-06,3.3535530769765587e-06,5.0891036271422505e-06,3.2267389523297366e-06,3.722713913173599e-06,3.7294304493747156e-06
8.40536005074879e-06,5.691624948669849e-06,5.354497501633223e-06,5.630241977225136e-06,4.130468328143666e-06,4.253644249986794e-06,4.4768029009714706e-06,4.010733552885595e-06,5.909881294751919e-06,3.719013756016571e-06,3.613290570071353e-06,4.3888720939328746e-06
1.1902860414963589e-05,6.325593756006652e-06,6.895272252058332e-06,6.338499818061176e-06,5.299370932729122e-06,4.598166766513737e-06,3.330348128160782e-06,4.051537725279535e-06,5.52833846666627e-06,3.93169726874635e-06,3.82597667116707e-06,3.914611143299603e-06
1.055390810149195e-05,6.2379977954544255e-06,6.6557286722526355e-06,6.322250701822956e-06,6.982302882407551e-06,4.469345373070167e-06,3.5856375303778534e-06,4.051529880121257e-06,6.086890661842032e-06,3.9478271226197686e-06,4.215264965083805e-06,3.6306229796775883e-06
1.0931747482771555e-05,5.972095367294541e-06,5.748310603594708e-06,5.57906909415918e-06,4.487135578668952e-06,3.960107275257063e-06,8.701968543849006e-06,3.4722903937130586e-06,5.649327290861068e-06,3.499272146936259e-06,6.355366900106465e-06,4.108706923098157e-06
1.2268239879579245e-05,7.220861909831448e-06,6.0729860203716076e-06,6.976340696588711e-06,5.390695557052257e-06,5.4599922140701785e-06,7.514027223370121e-06,5.133786727383344e-06,6.71360637776823e-06,4.870353287676117e-06,5.5842611134282505e-06,4.934252596445055e-06
1.1617294232864741e-05,6.5228195160894955e-06,7.1242422421488695e-06,5.7438856718456425e-06,5.2083796401184785e-06,4.332561414851805e-06,5.041185543155773e-06,3.979948519371002e-06,5.094732237485937e-06,3.7683444096467317e-06,3.663717196289267e-06,4.5131185613606005e-06
1.205368266026536e-05,6.279420259801064e-06,7.265947362813947e-06,6.0076421057498635e-06,3.6710036741300446e-06,4.35873923620682e-06,3.84045125934481e-06,3.860378349272564e-06,5.096396581063154e-06,3.7807674470206655e-06,3.3434962620655375e-06,4.233731997843115e-06
1.0986199942708468e-05,6.215518609390226e-06,7.162487433378681e-06,6.440167138172469e-06,4.316514991983507e-06,4.859556899505092e-06,4.41546976360043e-06,4.414661672271676e-06,5.771802876720701e-06,4.344753788891976e-06,3.91078627829469e-06,4.648009332274845e-06
8.669366749706828e-06,5.491442053718172e-06,2.7844600811914485e-05,5.159634343654683e-06,3.8759644610020375e-06,4.083459110240785e-06,8.344401669595578e-06,3.86165899604696e-06,5.618979957440804e-06,3.738426360482558e-06,6.07045958921151e-06,4.965915493802046e-06
9.919260088061097e-06,5.919118969369747e-06,7.642534774532499e-06,5.675730727877406e-06,4.163534069171424e-06,4.383758021674325e-06,3.7483693808515886e-06,4.042293848799749e-06,5.417268059082197e-06,3.762739248147272e-06,3.9677770036314614e-06,4.611381847515336e-06
1.0348956570435231e-05,5.609217096514731e-06,8.112144552835225e-06,5.5095013523641735e-06,5.473930635791391e-06,4.3288948542176455e-06,3.7129374473934087e-06,3.8543140793338915e-06,4.870560952565705e-06,4.05117144972925e-06,4.7635251152190545e-06,5.053207367746002e-06
9.751740154299743e-06,5.855861480406802e-06,5.720070003192806e-06,5.498534410638573e-06,3.935240368403789e-06,3.994518791444144e-06,5.958270031587803e-06,3.713453080689434e-06,5.20179775510123e-06,3.5242566083573933e-06,4.061098816538979e-06,4.26001145250138e-06
6.0423792280620405e-06,4.975125546156779e-06,4.494585953837991e-06,5.2529431477074665e-06,9.823765184041963e-06,3.4768155972548714e-06,3.97274599427563e-06,3.336301826356147e-06,6.74870507373731e-06,2.9836728532740745e-06,2.9443120755223955e-06,3.271076626444049e-06
8.378572115239263e-06,5.427763562023367e-06,6.803668420884569e-06,5.5751430659066455e-06,6.998144166108676e-06,3.981170465717877e-06,3.237128246566986e-06,3.6381066254577986e-06,5.791867549291862e-06,3.402486573709148e-06,4.333339867953635e-06,3.7533356242233386e-06
9.110656346963191e-06,5.4641541538453645e-06,6.823967569184325e-06,5.414373984864636e-06,5.188208841970164e-06,3.968316995076945e-06,3.5977433748005434e-06,3.667465669077287e-06,5.35273968629927e-06,3.597975466896463e-06,3.911109771623266e-06,4.286531102056345e-06
6.907750262597002e-06,4.615483939093126e-06,4.851315075660029e-06,5.265023004761694e-06,8.18160861433483e-06,3.6544368941128785e-06,4.003677210801584e-06,3.2494317180574104e-06,5.861608217622e-06,3.217791547511855e-06,3.072820890042485e-06,3.7298832131576994e-06
